# Auto-generated by morning_prefilter.py at 2026-06-20 19:28 ET
# Filters: gap >= 3.0%, price >= $3.0
# Source: yfinance (screening only); Alpaca handles execution
# Survivors: 20 (capped at 20) of 503
#
# ticker  # gap +X.XX%  open $X.XX  prev $X.XX
SNDK  # gap +11.54%  open $2044.74  prev $1958.80
GLW  # gap +11.13%  open $182.33  prev $175.40
INTC  # gap +10.64%  open $131.81  prev $121.10
SMCI  # gap +10.37%  open $28.44  prev $27.78
KLAC  # gap +8.73%  open $251.77  prev $238.73
MU  # gap +8.70%  open $1108.07  prev $1043.19
MPWR  # gap +7.97%  open $1529.24  prev $1448.21
Q  # gap +7.82%  open $160.45  prev $156.72
ON  # gap +7.70%  open $117.89  prev $112.92
MRVL  # gap +7.27%  open $305.47  prev $289.54
TER  # gap +7.19%  open $421.83  prev $408.56
TXN  # gap +6.95%  open $313.11  prev $301.88
QCOM  # gap +6.17%  open $220.71  prev $212.97
MCHP  # gap +6.01%  open $98.20  prev $94.11
CVNA  # gap +5.89%  open $64.40  prev $62.86
BLDR  # gap +5.84%  open $78.36  prev $76.14
GEV  # gap +5.80%  open $1091.03  prev $1048.86
TECH  # gap +5.35%  open $55.35  prev $55.00
SWK  # gap +5.19%  open $84.14  prev $82.47
NXPI  # gap +5.05%  open $309.44  prev $298.20
